-HippySnob-,Fate/Apocrypha,34662,9
-HippySnob-,Isekai wa Smartphone to Tomo ni.,35203,1
-HippySnob-,Gamers!,34280,7
0MAN0,Elfen Lied,226,3
0MAN0,Akame ga Kill!,22199,3
0MAN0,Deadman Wonderland,6880,2
0MAN0,Darling in the FranXX,35849,5
1nvader,Sword Art Online,11757,8
1nvader,Kenja no Mago,36407,8
1nvader,Arifureta Shokugyou de Sekai Saikyou,36882,3
1nvader,High School DxD,11617,7
5camp,Deadman Wonderland,6880,3
5camp,Accel World,11759,3
5camp,Mahouka Koukou no Rettousei,20785,3
711nono,Tokyo Ghoul √A,27899,9
711nono,Rokka no Yuusha,28497,7
711nono,Koutetsujou no Kabaneri,28623,6
AbsarNaeem,Mahouka Koukou no Rettousei,20785,9
AbsarNaeem,Aldnoah.Zero,22729,8
AbsarNaeem,Sword Art Online II,21881,9
AbsarNaeem,Akame ga Kill!,22199,8
AbsarNaeem,Tokyo Ghoul √A,27899,8
acynicalasian,Akame ga Kill!,22199,7
acynicalasian,Mahouka Koukou no Rettousei,20785,8
acynicalasian,Guilty Crown,10793,8
AgentBishop,Sword Art Online,11757,4
AgentBishop,Sword Art Online II,21881,6
AgentBishop,Sword Art Online: Alicization,36474,6
ahmdaeyz,Koutetsujou no Kabaneri,28623,6
ahmdaeyz,Zero no Tsukaima,1195,6
ahmdaeyz,Kuzu no Honkai,32949,8
Aisuokami,Absolute Duo,25397,5
Aisuokami,Black Bullet,20787,5
Aisuokami,Akame ga Kill!,22199,6
Aisuokami,Btooom!,14345,7
Aisuokami,Deadman Wonderland,6880,6
Alamojak,Dragon Ball Super,30694,7
Alamojak,One Punch Man 2nd Season,34134,8
Alamojak,Death March kara Hajimaru Isekai Kyousoukyoku,34497,6
albert475,Sword Art Online,11757,8
albert475,Sword Art Online: Alicization,36474,4
albert475,Eromanga-sensei,32901,3
alleyesonmy,Elfen Lied,226,7
alleyesonmy,Blood-C,10490,4
alleyesonmy,Deadman Wonderland,6880,3
alleyesonmy,Himouto! Umaru-chan,28825,1
alucardmike666,Guilty Crown,10793,6
alucardmike666,Deadman Wonderland,6880,8
alucardmike666,High School DxD,11617,9
AmericanSomnium,Fate/Apocrypha,34662,6
AmericanSomnium,Re:Creators,34561,8
AmericanSomnium,Tokyo Ghoul √A,27899,5
AmericanSomnium,Darling in the FranXX,35849,7
AmericanSomnium,Goblin Slayer,37349,7
